tsolve,alg,nvars,seed,runseed
8,UEDA,5,1,1
7,GR,5,1,1
13,RS,5,1,1
73,UEDA,5,1,2
4,GR,5,1,2
2,RS,5,1,2
15,UEDA,5,1,3
13,GR,5,1,3
8,RS,5,1,3
8,UEDA,5,1,4
5,GR,5,1,4
14,RS,5,1,4
28,UEDA,5,1,5
1,GR,5,1,5
16,RS,5,1,5
1,UEDA,5,1,6
4,GR,5,1,6
1,RS,5,1,6
4,UEDA,5,1,7
6,GR,5,1,7
2,RS,5,1,7
24,UEDA,5,1,8
13,GR,5,1,8
13,RS,5,1,8
9,UEDA,5,1,9
6,GR,5,1,9
34,RS,5,1,9
7,UEDA,5,1,10
4,GR,5,1,10
16,RS,5,1,10
27,UEDA,5,2,1
19,GR,5,2,1
22,RS,5,2,1
21,UEDA,5,2,2
18,GR,5,2,2
9,RS,5,2,2
25,UEDA,5,2,3
9,GR,5,2,3
3,RS,5,2,3
2,UEDA,5,2,4
12,GR,5,2,4
55,RS,5,2,4
48,UEDA,5,2,5
5,GR,5,2,5
4,RS,5,2,5
9,UEDA,5,2,6
3,GR,5,2,6
12,RS,5,2,6
8,UEDA,5,2,7
58,GR,5,2,7
18,RS,5,2,7
2,UEDA,5,2,8
15,GR,5,2,8
2,RS,5,2,8
13,UEDA,5,2,9
11,GR,5,2,9
43,RS,5,2,9
7,UEDA,5,2,10
16,GR,5,2,10
22,RS,5,2,10
37,UEDA,5,3,1
9,GR,5,3,1
4,RS,5,3,1
24,UEDA,5,3,2
6,GR,5,3,2
4,RS,5,3,2
2,UEDA,5,3,3
9,GR,5,3,3
6,RS,5,3,3
17,UEDA,5,3,4
6,GR,5,3,4
15,RS,5,3,4
15,UEDA,5,3,5
9,GR,5,3,5
52,RS,5,3,5
2,UEDA,5,3,6
15,GR,5,3,6
59,RS,5,3,6
98,UEDA,5,3,7
7,GR,5,3,7
65,RS,5,3,7
5,UEDA,5,3,8
6,GR,5,3,8
6,RS,5,3,8
2,UEDA,5,3,9
5,GR,5,3,9
6,RS,5,3,9
9,UEDA,5,3,10
4,GR,5,3,10
11,RS,5,3,10
48,UEDA,5,4,1
2,GR,5,4,1
79,RS,5,4,1
32,UEDA,5,4,2
9,GR,5,4,2
52,RS,5,4,2
1,UEDA,5,4,3
8,GR,5,4,3
1,RS,5,4,3
13,UEDA,5,4,4
5,GR,5,4,4
4,RS,5,4,4
8,UEDA,5,4,5
5,GR,5,4,5
15,RS,5,4,5
14,UEDA,5,4,6
8,GR,5,4,6
5,RS,5,4,6
1,UEDA,5,4,7
4,GR,5,4,7
1,RS,5,4,7
18,UEDA,5,4,8
8,GR,5,4,8
21,RS,5,4,8
10,UEDA,5,4,9
1,GR,5,4,9
46,RS,5,4,9
5,UEDA,5,4,10
9,GR,5,4,10
28,RS,5,4,10
10,UEDA,5,5,1
7,GR,5,5,1
16,RS,5,5,1
19,UEDA,5,5,2
10,GR,5,5,2
18,RS,5,5,2
70,UEDA,5,5,3
12,GR,5,5,3
15,RS,5,5,3
11,UEDA,5,5,4
9,GR,5,5,4
25,RS,5,5,4
58,UEDA,5,5,5
6,GR,5,5,5
2,RS,5,5,5
65,UEDA,5,5,6
12,GR,5,5,6
14,RS,5,5,6
21,UEDA,5,5,7
9,GR,5,5,7
39,RS,5,5,7
46,UEDA,5,5,8
4,GR,5,5,8
22,RS,5,5,8
5,UEDA,5,5,9
3,GR,5,5,9
14,RS,5,5,9
2,UEDA,5,5,10
5,GR,5,5,10
5,RS,5,5,10
72,UEDA,5,6,1
9,GR,5,6,1
4,RS,5,6,1
18,UEDA,5,6,2
6,GR,5,6,2
4,RS,5,6,2
2,UEDA,5,6,3
9,GR,5,6,3
6,RS,5,6,3
17,UEDA,5,6,4
6,GR,5,6,4
15,RS,5,6,4
15,UEDA,5,6,5
9,GR,5,6,5
52,RS,5,6,5
2,UEDA,5,6,6
10,GR,5,6,6
59,RS,5,6,6
31,UEDA,5,6,7
7,GR,5,6,7
65,RS,5,6,7
5,UEDA,5,6,8
6,GR,5,6,8
6,RS,5,6,8
2,UEDA,5,6,9
5,GR,5,6,9
6,RS,5,6,9
6,UEDA,5,6,10
4,GR,5,6,10
11,RS,5,6,10
38,UEDA,5,7,1
6,GR,5,7,1
20,RS,5,7,1
1,UEDA,5,7,2
3,GR,5,7,2
1,RS,5,7,2
12,UEDA,5,7,3
5,GR,5,7,3
7,RS,5,7,3
6,UEDA,5,7,4
1,GR,5,7,4
6,RS,5,7,4
4,UEDA,5,7,5
12,GR,5,7,5
40,RS,5,7,5
11,UEDA,5,7,6
10,GR,5,7,6
9,RS,5,7,6
22,UEDA,5,7,7
2,GR,5,7,7
12,RS,5,7,7
6,UEDA,5,7,8
14,GR,5,7,8
16,RS,5,7,8
28,UEDA,5,7,9
9,GR,5,7,9
10,RS,5,7,9
1,UEDA,5,7,10
2,GR,5,7,10
1,RS,5,7,10
48,UEDA,5,8,1
6,GR,5,8,1
20,RS,5,8,1
1,UEDA,5,8,2
3,GR,5,8,2
1,RS,5,8,2
12,UEDA,5,8,3
5,GR,5,8,3
7,RS,5,8,3
6,UEDA,5,8,4
1,GR,5,8,4
6,RS,5,8,4
4,UEDA,5,8,5
7,GR,5,8,5
40,RS,5,8,5
28,UEDA,5,8,6
9,GR,5,8,6
9,RS,5,8,6
17,UEDA,5,8,7
2,GR,5,8,7
12,RS,5,8,7
20,UEDA,5,8,8
10,GR,5,8,8
16,RS,5,8,8
94,UEDA,5,8,9
9,GR,5,8,9
10,RS,5,8,9
1,UEDA,5,8,10
2,GR,5,8,10
1,RS,5,8,10
40,UEDA,5,9,1
14,GR,5,9,1
4,RS,5,9,1
13,UEDA,5,9,2
6,GR,5,9,2
4,RS,5,9,2
2,UEDA,5,9,3
22,GR,5,9,3
6,RS,5,9,3
68,UEDA,5,9,4
9,GR,5,9,4
15,RS,5,9,4
14,UEDA,5,9,5
24,GR,5,9,5
52,RS,5,9,5
2,UEDA,5,9,6
40,GR,5,9,6
59,RS,5,9,6
51,UEDA,5,9,7
9,GR,5,9,7
65,RS,5,9,7
5,UEDA,5,9,8
